"","Boro-Block-Lot","CondoSection","Address","Neighborhood","BldgClassification","TotalUnits","YearBuilt","GrossSqFt","EstGrossIncome","GrossIncomePerSqFt","EstimatedExpense","ExpensePerSqFt","NetOperatingIncome","FullMarketValue","MarketValuePerSqFt","ReportYear"
"33","1-00500-7501","0123-R1","116 WOOSTER STREET","SOHO","R4-ELEVATOR",15,1907,20752,573793,27.65,174317,8.4,399476,3040999,146.54,2013
"34","1-00090-7502","1137-R1","105 NASSAU STREET","SOUTHBRIDGE","R4-ELEVATOR",9,1923,20883,683709,32.74,194003,9.29,489706,3730001,178.61,2013
"35","1-02025-7501","1737-R1","202 WEST 140 STREET","HARLEM-CENTRAL","R2-WALK-UP",29,1926,30584,668872,21.87,263634,8.62,405238,3004995,98.25,2013
"36","4-09736-7501","0520-R1","143-41 84 DRIVE","BRIARWOOD","R4-ELEVATOR",53,2007,29969,886183,29.57,401285,13.39,484898,3880000,129.47,2016
"37","4-00034-7501","0604-R1","5 BORDEN AVENUE","LONG ISLAND CITY","R4-ELEVATOR",132,2008,140166,3038799,21.68,692420,4.94,2346379,17369999,123.92,2013
"38","1-00638-7502","1211-R1","359 WEST 11 STREET","GREENWICH VILLAGE-WEST","R4-CONDOMINIUM",18,1999,39213,1765369,45.02,533297,13.6,1232072,9302000,237.22,2012
"39","3-00323-7503","2978-R1","58 STRONG PLACE","COBBLE HILL","R4-ELEVATOR",23,1900,31985,721901,22.57,284347,8.89,437554,3440001,107.55,2016
"40","4-01536-7501","0030-R1","80-06 47 AVENUE","ELMHURST","R4-CONDOMINIUM",75,1980,105000,1562400,14.88,590100,5.62,972300,6716004,63.96,2015
"41","1-00819-7504","1810-R1","15 WEST 17 STREET","FLATIRON","R4-CONDOMINIUM",10,1906,23591,798319,33.84,148859,6.31,649460,4903000,207.83,2012
"42","1-00635-7501","0158-R1","33 BETHUNE STREET","GREENWICH VILLAGE-WEST","R4-ELEVATOR",24,1930,42407,1407488,33.19,477079,11.25,930409,7443000,175.51,2017
"43","1-01151-7502","1719-R1","10 WEST END AVENUE","UPPER WEST SIDE (59-79)","R4-CONDOMINIUM",170,2005,213067,9155489,42.97,2477969,11.63,6677520,53388999,250.57,2015
"44","1-00753-7502","2455-R1","308 WEST 30 STREET","CHELSEA","R4-ELEVATOR",60,1925,53449,2268910,42.45,784631,14.68,1484279,11872999,222.14,2017
"45","4-03342-7501","0289-R1","111-56 76 DRIVE","FOREST HILLS","R4-CONDOMINIUM",39,1939,31511,592092,18.79,275721,8.75,316371,2333004,74.04,2015
"46","1-00297-7501","0367-R1","26 LUDLOW STREET","LOWER EAST SIDE","R4  -ELEVATOR",10,1900,6791,278024,40.94,96025,14.14,181999,1465001,215.73,2018
"47","3-00052-7501","1731-R1","85 ADAMS STREET","DOWNTOWN-FULTON FERRY","R4-ELEVATOR",79,2006,87554,2539942,29.01,848398,9.69,1691544,13535993,154.6,2016
"48","1-01309-7502","0420-R1","135 EAST 54 STREET","MIDTOWN CBD","R4  -ELEVATOR",145,1951,132205,6332620,47.9,1628766,12.32,4703854,38201985,288.96,2019
"49","3-02264-7512","0949-R1","559 FLUSHING AVENUE","WILLIAMSBURG-CENTRAL","R4-CONDOMINIUM",14,2002,14000,296940,21.21,69300,4.95,227640,1665002,118.93,2012
"50","3-06133-7501","1125-R1","9935 SHORE ROAD","BAY RIDGE","R4-ELEVATOR",24,2004,30793,583835,18.96,235259,7.64,348576,2508000,81.45,2013
"51","4-05125-7502","0443-R1","43-18 MAIN STREET","FLUSHING-NORTH","R4-ELEVATOR",66,2001,64520,1969150,30.52,1026513,15.91,942637,7539993,116.86,2017
"52","3-02264-7518","1287-R1","268 WALLABOUT STREET","WILLIAMSBURG-CENTRAL","R4-CONDOMINIUM",28,2005,32523,689813,21.21,160989,4.95,528824,3866997,118.9,2012
"53","3-06253-7502","1215-R1","105 KINGS HIGHWAY","BENSONHURST","R4-CONDOMINIUM",19,2003,35700,958674,26.85,378801,10.61,579873,4413992,123.64,2014
"54","3-08676-7501","2580-R1","3047 BRIGHTON 6 STREET","BRIGHTON BEACH","R4-ELEVATOR",24,2006,35590,655924,18.43,296109,8.32,359815,2716995,76.34,2016
"55","4-02111-7501","0729-R1","99-40 63 DRIVE","REGO PARK","R9-CONDOPS",546,1952,555732,11003494,19.8,5801842,10.44,5201652,39918000,71.83,2016
"56","1-00595-7503","1238-R1","459 WASHINGTON STREET","SOHO","R4-CONDOMINIUM",12,1920,31613,1300585,41.14,373300,11.81,927285,7070000,223.64,2014
"57","3-05637-7502","2867-R1","871 50 STREET","BOROUGH PARK","R4  -ELEVATOR",13,2007,14408,379507,26.34,129384,8.98,250123,2005002,139.16,2019
"58","1-00864-7501","0096-R1","20 EAST 35 STREET","MURRAY HILL","R9-CONDOMINIUM",169,1938,182166,6890275,37.82,2214530,12.16,4675745,35652000,195.71,2014
"59","1-00693-7501","1134-R1","532 WEST 22 STREET","CHELSEA","R4  -ELEVATOR",12,1930,28207,1245057,44.14,334535,11.86,910522,7394999,262.17,2019
"60","4-05066-7505","1006-R1","131-05 40 ROAD","FLUSHING-NORTH","R4  -ELEVATOR",232,2015,259961,6553617,25.21,2539819,9.77,4013798,32306990,124.28,2018
"61","1-01406-7504","2441-R1","737 PARK AVENUE","UPPER EAST SIDE (59-79)","R4  -ELEVATOR",65,1940,193382,10949289,56.62,2678341,13.85,8270948,66571996,344.25,2018
"62","1-01064-7501","0331-R1","445 WEST 54 STREET","CLINTON","R4-ELEVATOR",29,1986,32906,1405744,42.72,442915,13.46,962829,7704001,234.12,2016
"63","1-00768-7504","1442-R1","270 WEST 19 STREET","CHELSEA","R4-ELEVATOR",14,2004,23052,981554,42.58,263715,11.44,717839,5741998,249.09,2016
"64","1-01120-7501","0126-R1","45 WEST 67 STREET","UPPER WEST SIDE (59-79)","R4  -ELEVATOR",171,1983,154328,7606827,49.29,2435296,15.78,5171531,41624993,269.72,2018
"65","3-01100-7501","1718-R1","425 14 STREET","PARK SLOPE","R2-CONDOMINIUM",29,1910,23868,583334,24.44,240828,10.09,342506,2566011,107.51,2012
"66","1-00860-7501","1472-R1","43 EAST 30 STREET","MURRAY HILL","R4-ELEVATOR",40,1922,51804,2692772,51.98,775506,14.97,1917266,15337003,296.06,2017
"67","4-02476-7502","0618-R1","52-18 VAN LOON STREET","ELMHURST","R4  -ELEVATOR",15,2007,12060,368433,30.55,143514,11.9,224919,1810002,150.08,2018
"68","1-01073-7502","2284-R1","530 WEST 45 STREET","CLINTON","RR-CONDOMINIUM",78,2012,269044,10995828,40.87,2558608,9.51,8437220,64333000,239.12,2014
